Abbreviation,Best-hit-arabi-defline,class,colors,degree.layout,Description,gene_id,gene_metabolite,GO,GODescription,KO,KOG,locusName,name,Panther,Pathways,Pathways_Desc,Pfam,selected,shared name
,pyruvate dehydrogenase E1 alpha,carb,pink,37,(1 of 2) PTHR11516//PTHR11516:SF25 - PYRUVATE DEHYDROGENASE E1 COMPONENT; ALPHA SUBUNIT  BACTERIAL AND ORGANELLAR // PYRUVATE DEHYDROGENASE E1 COMPONENT SUBUNIT ALPHA-3; CHLOROPLASTIC,Manes.05G016500.v8.1,gene,GO:0004739 GO:0006086 GO:0008152 GO:0016624 GO:0043231,"pyruvate dehydrogenase (acetyl-transferring) activity; acetyl-CoA biosynthetic process from pyruvate; metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor; intracellular membrane-bounded organelle",K00161,,,Manes.05G016500,PTHR11516 PTHR11516:SF25,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF00676,FALSE,Manes.05G016500
,debranching enzyme 1,carb,turquoise,47,(1 of 1) PTHR10357:SF115 - ISOAMYLASE 2; CHLOROPLASTIC,Manes.05G073400.v8.1,gene,GO:0003824 GO:0004553 GO:0005975 GO:0043169,"catalytic activity; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; cation binding",,KOG0470,,Manes.05G073400,PTHR10357 PTHR10357:SF115,PWY-6724; PWY-622,starch degradation II; starch biosynthesis,PF00128 PF02922,FALSE,Manes.05G073400
,ketose-bisphosphate aldolase class-II family protein,carb,yellow,17,(1 of 1) PF07005 - Putative sugar-binding N-terminal domain (DUF1537),Manes.06G005200.v8.1,gene,GO:0004616 GO:0005975 GO:0008270 GO:0016832 GO:0051287 GO:0055114,phosphogluconate dehydrogenase (decarboxylating) activity; carbohydrate metabolic process; zinc ion binding; aldehyde-lyase activity; NAD binding,,KOG0409,,Manes.06G005200,PTHR22981 PTHR22981:SF27,PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY; PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY,"glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation; gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle",PF01116 PF03446 PF07005 PF14833 PF17042,FALSE,Manes.06G005200
,FAD/NAD(P)-binding oxidoreductase family protein,carot,grey,7,(1 of 1) PTHR10668//PTHR10668:SF4 - PHYTOENE DEHYDROGENASE // FAD/NAD(P)-BINDING OXIDOREDUCTASE DOMAIN-CONTAINING PROTEIN,Manes.07G025600.v8.1,gene,GO:0016491 GO:0055114,oxidoreductase activity,,,,Manes.07G025600,PTHR10668 PTHR10668:SF4,CAROTENOID-PWY; PWY-6475,superpathway of carotenoid biosynthesis; <i>trans</i>-lycopene biosynthesis II (plants),PF01593,FALSE,Manes.07G025600
,peroxisomal NAD-malate dehydrogenase 1,carb,grey,4,(1 of 2) PTHR11540:SF21 - MALATE DEHYDROGENASE; GLYOXYSOMAL,Manes.07G049100.v8.1,gene,GO:0006108 GO:0016491 GO:0016616 GO:0019752 GO:0030060 GO:0055114,"malate metabolic process; oxidoreductase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity",K00026,,,Manes.07G049100,PTHR11540 PTHR11540:SF21,PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561,"gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation",PF00056 PF02866,FALSE,Manes.07G049100
,,carb,salmon,26,(1 of 1) KOG2638 - UDP-glucose pyrophosphorylase,Manes.08G156000.v8.1,gene,GO:0003735 GO:0005622 GO:0005840 GO:0006412 GO:0008152 GO:0070569,structural constituent of ribosome; intracellular anatomical structure; ribosome; translation; metabolic process; uridylyltransferase activity,K00963,KOG2638,,Manes.08G156000,PTHR11952 PTHR11952:SF13,PWY-3801; PWY-6527; SUCSYN-PWY; PWY-7238; PWY-7343;,sucrose degradation II (sucrose synthase); stachyose degradation; sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis;,PF00318 PF01704,FALSE,Manes.08G156000
,Carbohydrate-binding-like fold,carb,yellow,30,(1 of 2) 3.2.1.3 - Glucan 1;4-alpha-glucosidase / Lysosomal alpha-glucosidase,Manes.09G104500.v8.1,gene,GO:0003824 GO:2001070,catalytic activity; starch binding,,,,Manes.09G104500,PTHR10357 PTHR10357:SF149,,,PF00686,FALSE,Manes.09G104500
,NAD(P)-binding Rossmann-fold superfamily protein,carot,blue,19,(1 of 1) PTHR24322:SF547 - ALCOHOL DEHYDROGENASE-LIKE PROTEIN,Manes.11G077300.v8.1,gene,GO:0008152 GO:0008667 GO:0016491 GO:0019290 GO:0055114,"metabolic process; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity; oxidoreductase activity; siderophore biosynthetic process",,KOG0725,,Manes.11G077300,PTHR24322 PTHR24322:SF547,PWY-695,abscisic acid biosynthesis,PF13561,FALSE,Manes.11G077300
GGPS1,geranylgeranyl pyrophosphate synthase 1,carot,yellow,33,(1 of 1) 2.5.1.1//2.5.1.10//2.5.1.29 - Dimethylallyltranstransferase / Prenyltransferase // (2E;6E)-farnesyl diphosphate synthase / Geranyltranstransferase // Geranylgeranyl diphosphate synthase / Geranylgeranyl-PP synthetase,Manes.12G098600.v8.1,gene,GO:0008299,isoprenoid biosynthetic process,K13789,KOG0776,,Manes.12G098600,PTHR12001 PTHR12001:SF52,PWY-5910; PWY-7709; PWY-6859; PWY-5122; PWY-5123; PWY-5120,"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate); (3<i>R</i>)-linalool biosynthesis; <i>all-trans</i>-farnesol biosynthesis; geranyl diphosphate biosynthesis; <i>trans, trans</i>-farnesyl diphosphate biosynthesis; geranylgeranyl diphosphate biosynthesis",PF00348,TRUE,Manes.12G098600
DXS-RI,1-deoxy-D-xylulose 5-phosphate reductoisomerase,carot,grey,10,(1 of 2) 1.1.1.267 - 1-deoxy-D-xylulose-5-phosphate reductoisomerase / DXP-reductoisomerase,Manes.14G065900.v8.1,gene,GO:0005515 GO:0008299 GO:0030604 GO:0046872 GO:0055114 GO:0070402,protein binding; isoprenoid biosynthetic process; 1-deoxy-D-xylulose-5-phosphate reductoisomerase activity; metal ion binding; NADPH binding,K00099,,,Manes.14G065900,PTHR30525 PTHR30525:SF2,PWY-7560,methylerythritol phosphate pathway II,PF02670 PF08436 PF13288,TRUE,Manes.14G065900
,solanesyl diphosphate synthase 2,carot,grey,11,(1 of 1) 2.5.1.83 - Hexaprenyl-diphosphate synthase ((2E;6E)-farnesyl-diphosphate specific) / HexPS,Manes.15G100400.v8.1,gene,GO:0008299 GO:0015979 GO:0016765,"isoprenoid biosynthetic process; photosynthesis; transferase activity, transferring alkyl or aryl (other than methyl) groups",K05356,KOG0776,,Manes.15G100400,PTHR12001 PTHR12001:SF18,HEXPPSYN-PWY; PWY-6520; PWY-5807; PWY-5910; PWY-5783; PWY-5805; PWY-5120,hexaprenyl diphosphate biosynthesis; nonaprenyl diphosphate biosynthesis II; heptaprenyl diphosphate biosynthesis; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate); octaprenyl diphosphate biosynthesis; nonaprenyl diphosphate biosynthesis I; geranylgeranyl diphosphate biosynthesis,PF00348,FALSE,Manes.15G100400
LCYB,Lycopene beta/epsilon cyclase protein,carot,grey,5,(1 of 1) 5.5.1.18 - Lycopene epsilon-cyclase,Manes.16G099600.v8.1,gene,GO:0016117 GO:0016705,"carotenoid biosynthetic process; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",K06444,,,Manes.16G099600,PTHR13789 PTHR13789:SF207,PWY-5175; PWY-5946; CAROTENOID-PWY,lactucaxanthin biosynthesis; &delta;-carotene biosynthesis; superpathway of carotenoid biosynthesis,PF05834,TRUE,Manes.16G099600
,aldehyde dehydrogenase 11A3,carb,pink,60,(1 of 1) PTHR11699//PTHR11699:SF176 - ALDEHYDE DEHYDROGENASE-RELATED // SUBFAMILY NOT NAMED,Manes.16G128400.v8.1,gene,GO:0008152 GO:0016491 GO:0055114,metabolic process; oxidoreductase activity,K00131,,,Manes.16G128400,PTHR11699 PTHR11699:SF176,PWY-1042; PWY-5464,"glycolysis IV (plant cytosol); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",PF00171,FALSE,Manes.16G128400
,FAD/NAD(P)-binding oxidoreductase family protein,carot,yellow,20,(1 of 1) PTHR10742:SF287 - PROTEIN GLF-1,Manes.16G135300.v8.1,gene,,,,KOG0029,,Manes.16G135300,PTHR10742 PTHR10742:SF287,CAROTENOID-PWY; PWY-6475,superpathway of carotenoid biosynthesis; <i>trans</i>-lycopene biosynthesis II (plants),PF13450,FALSE,Manes.16G135300
Viola. 1,NA,carot,grey,10,NA,Violaxanthin.peak.1,metabolite,NA,NA,NA,NA,Violaxanthin.peak.1,Violaxanthin.peak.1,NA,NA,NA,NA,TRUE,Violaxanthin.peak.1
TC,NA,carot,purple,31,NA,total_carotenoids,metabolite,NA,NA,NA,NA,total_carotenoids,total_carotenoids,NA,NA,NA,NA,TRUE,total_carotenoids
,NA,carot,purple,25,NA,ratio_viola_bc,metabolite,NA,NA,NA,NA,ratio_viola_bc,ratio_viola_bc,NA,NA,NA,NA,FALSE,ratio_viola_bc
,NA,carot,grey,11,NA,i_o_diff_TC,metabolite,NA,NA,NA,NA,i_o_diff_TC,i_o_diff_TC,NA,NA,NA,NA,FALSE,i_o_diff_TC
,alpha/beta-Hydrolases superfamily protein,carb,blue,5,(1 of 3) PTHR10992//PTHR10992:SF217 - ALPHA/BETA HYDROLASE FOLD-CONTAINING PROTEIN // HYDROLASE; ALPHA/BETA FOLD FAMILY PROTEIN,Manes.08G151500.v8.1,gene,,,,KOG1454,,Manes.08G151500,PTHR10992 PTHR10992:SF217,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF00561,FALSE,Manes.08G151500
,ADP glucose pyrophosphorylase  1,carb,blue,4,(1 of 2) PTHR22572:SF101 - GLUCOSE-1-PHOSPHATE ADENYLYLTRANSFERASE SMALL SUBUNIT; CHLOROPLASTIC,Manes.13G058900.v8.1,gene,GO:0005978 GO:0008878 GO:0009058 GO:0016779,glycogen biosynthetic process; glucose-1-phosphate adenylyltransferase activity; biosynthetic process; nucleotidyltransferase activity,K00975,KOG1322,,Manes.13G058900,PTHR22572 PTHR22572:SF101,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF00483,FALSE,Manes.13G058900
,,carb,darkred,6,(1 of 3) PTHR12526//PTHR12526:SF341 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED,Manes.17G038964.v8.1,gene,GO:2001070,starch binding,,,,Manes.17G038964,PTHR12526 PTHR12526:SF341,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF00534 PF13579 PF16760,FALSE,Manes.17G038964
,UDP-Glycosyltransferase superfamily protein,carb,grey,14,(1 of 2) K13679 - granule-bound starch synthase [EC:2.4.1.242] Glc a1-4 Glc (WAXY),Manes.02G001000.v8.1,gene,GO:0004373,"alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity",K13679,,,Manes.02G001000,PTHR12526 PTHR12526:SF383,PWY-622,starch biosynthesis,PF00534 PF08323,FALSE,Manes.02G001000
,sucrose phosphate synthase 1F,carb,grey,11,(1 of 1) PTHR12526//PTHR12526:SF334 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED,Manes.14G117000.v8.1,gene,GO:0005985 GO:0016157 GO:0046524,sucrose metabolic process; sucrose synthase activity; sucrose-phosphate synthase activity,K00696,KOG0853,,Manes.14G117000,PTHR12526 PTHR12526:SF334,SUCSYN-PWY; PWY-7238,sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II,PF00534 PF00862 PF05116,FALSE,Manes.14G117000
DSX-RI,1-deoxy-D-xylulose 5-phosphate reductoisomerase,carot,grey,11,(1 of 2) 1.1.1.267 - 1-deoxy-D-xylulose-5-phosphate reductoisomerase / DXP-reductoisomerase,Manes.06G104700.v8.1,gene,GO:0005515 GO:0008299 GO:0030604 GO:0046872 GO:0055114 GO:0070402,protein binding; isoprenoid biosynthetic process; 1-deoxy-D-xylulose-5-phosphate reductoisomerase activity; metal ion binding; NADPH binding,K00099,,,Manes.06G104700,PTHR30525 PTHR30525:SF2,PWY-7560,methylerythritol phosphate pathway II,PF02670 PF08436 PF13288,TRUE,Manes.06G104700
,isoamylase 3,carb,grey,24,(1 of 1) PTHR10357//PTHR10357:SF74 - ALPHA-AMYLASE // ISOAMYLASE 3; CHLOROPLASTIC,Manes.18G063352.v8.1,gene,GO:0003824 GO:0004553 GO:0005975 GO:0043169,"catalytic activity; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; cation binding",K01214,,,Manes.18G063352,PTHR10357 PTHR10357:SF74,PWY-6724; PWY-622,starch degradation II; starch biosynthesis,PF00128 PF02922,FALSE,Manes.18G063352
,Sucrose-6F-phosphate phosphohydrolase family protein,carb,grey,25,(1 of 3) 3.1.3.24 - Sucrose-phosphate phosphatase / Sucrose-6-phosphate phosphatase,Manes.09G042100.v8.1,gene,GO:0000287 GO:0003824 GO:0005986 GO:0008152 GO:0016791 GO:0050307,magnesium ion binding; catalytic activity; sucrose biosynthetic process; metabolic process; phosphatase activity; sucrose-phosphate phosphatase activity,,,,Manes.09G042100,PTHR12526 PTHR12526:SF2,SUCSYN-PWY; PWY-7238,sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II,PF08282 PF08472,FALSE,Manes.09G042100
B-carotene,NA,carot,purple,23,NA,Beta.Carotene,metabolite,NA,NA,NA,NA,Beta.Carotene,Beta.Carotene,NA,NA,NA,NA,TRUE,Beta.Carotene
,Aldolase superfamily protein,carb,grey,4,(1 of 2) PTHR11627:SF19 - FRUCTOSE-BISPHOSPHATE ALDOLASE-RELATED,Manes.05G202700.v8.1,gene,GO:0004332 GO:0006096,fructose-bisphosphate aldolase activity; glycolytic process,K01623,,,Manes.05G202700,PTHR11627 PTHR11627:SF19,PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00274,FALSE,Manes.05G202700
,,carb,grey,9,(1 of 11) 3.2.1.2 - Beta-amylase / Saccharogen amylase,Manes.09G049886.v8.1,gene,GO:0000272 GO:0016161,polysaccharide catabolic process; beta-amylase activity,,,,Manes.09G049886,PTHR31352 PTHR31352:SF7,PWY-6724,starch degradation II,PF01373,FALSE,Manes.09G049886
CCS1,,carot,magenta,5,(1 of 1) K14593 - capsanthin/capsorubin synthase (CCS1),Manes.11G163700.v8.1,gene,GO:0016117 GO:0016705,"carotenoid biosynthetic process; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",K14593,,,Manes.11G163700,PTHR13789 PTHR13789:SF203,PWY-6809; PWY-695,neoxanthin biosynthesis; abscisic acid biosynthesis,PF05834,TRUE,Manes.11G163700
,,carb,greenyellow,5,(1 of 1) PTHR11406//PTHR11406:SF13 - PHOSPHOGLYCERATE KINASE // SUBFAMILY NOT NAMED,Manes.09G066828.v8.1,gene,GO:0004618 GO:0006096 GO:0006400 GO:0008176,phosphoglycerate kinase activity; glycolytic process; tRNA modification; tRNA (guanine(46)-N7)-methyltransferase activity,K00927,KOG1367,,Manes.09G066828,PTHR11406 PTHR11406:SF13,ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY; PWY66-399; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY,"glycolysis III (from glucose); homolactic fermentation; gluconeogenesis III; oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis)",PF00162 PF02390,FALSE,Manes.09G066828
,,carb,grey,1,(1 of 1) 1.1.1.1//1.1.1.22 - Alcohol dehydrogenase / Aldehyde reductase // UDP-glucose 6-dehydrogenase,Manes.12G043100.v8.1,gene,GO:0008270 GO:0016491 GO:0055114,zinc ion binding; oxidoreductase activity,K18857,,,Manes.12G043100,PTHR11695 PTHR11695:SF432,PWY-7346; PWY-4821; PWY-5486; PWY-6333; PWY-6802; PWY66-21; PWY66-389,UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose); UDP-D-xylose biosynthesis; pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; ethanol degradation II; phytol degradation,PF00107 PF08240,FALSE,Manes.12G043100
,phosphoglucosamine mutase family protein,carb,grey,6,(1 of 2) 5.4.2.2//5.4.2.8 - Phosphoglucomutase (alpha-D-glucose-1;6-bisphosphate-dependent) / Phosphoglucose mutase // Phosphomannomutase / Phosphomannose mutase,Manes.10G046600.v8.1,gene,GO:0005975 GO:0016868,carbohydrate metabolic process; intramolecular phosphotransferase activity,,,,Manes.10G046600,PTHR22573 PTHR22573:SF18,PWY-3801; GLYCOGENSYNTH-PWY; PWY-882; SUCSYN-PWY; PWY-7238; PWY-7343; PWY-5659; GLUCOSE1PMETAB-PWY; PWY-622; PWY66-422,sucrose degradation II (sucrose synthase); glycogen biosynthesis I (from ADP-D-Glucose); L-ascorbate biosynthesis I (L-galactose pathway); sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis; GDP-mannose biosynthesis; glucose and glucose-1-phosphate degradation; starch biosynthesis; D-galactose degradation V (Leloir pathway),PF02878 PF02879 PF02880,FALSE,Manes.10G046600
,alpha/beta-Hydrolases superfamily protein,carb,grey,13,(1 of 3) PTHR10992//PTHR10992:SF217 - ALPHA/BETA HYDROLASE FOLD-CONTAINING PROTEIN // HYDROLASE; ALPHA/BETA FOLD FAMILY PROTEIN,Manes.08G151600.v8.1,gene,,,,KOG1454,,Manes.08G151600,PTHR10992 PTHR10992:SF217,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF00561,FALSE,Manes.08G151600
,NA,carb,grey,2,NA,i_o_diff_DM,metabolite,NA,NA,NA,NA,i_o_diff_DM,i_o_diff_DM,NA,NA,NA,NA,FALSE,i_o_diff_DM
HMBPP R,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,carot,grey,1,(1 of 2) 1.17.1.2 - 4-hydroxy-3-methylbut-2-enyl diphosphate reductase / HMBPP reductase,Manes.15G147700.v8.1,gene,GO:0019288 GO:0046872 GO:0050992 GO:0051745,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway; metal ion binding; dimethylallyl diphosphate biosynthetic process; 4-hydroxy-3-methylbut-2-enyl diphosphate reductase activity",K03527,,,Manes.15G147700,PTHR31619 PTHR31619:SF2,PWY-7560,methylerythritol phosphate pathway II,PF02401,TRUE,Manes.15G147700
NCED3,nine-cis-epoxycarotenoid dioxygenase 3,carot,magenta,1,(1 of 6) K09840 - 9-cis-epoxycarotenoid dioxygenase (NCED),Manes.15G102000.v8.1,gene,,,K09840,,,Manes.15G102000,PTHR10543 PTHR10543:SF26,PWY-695,abscisic acid biosynthesis,PF03055,TRUE,Manes.15G102000
,,carot,grey,2,(1 of 3) PTHR11624//PTHR11624:SF83 - DEHYDROGENASE RELATED // SUBFAMILY NOT NAMED,Manes.13G101600.v8.1,gene,GO:0003824 GO:0008152 GO:0008661 GO:0016114,catalytic activity; metabolic process; 1-deoxy-D-xylulose-5-phosphate synthase activity; terpenoid biosynthetic process,K01662,,,Manes.13G101600,PTHR11624 PTHR11624:SF83,PWY-7560,methylerythritol phosphate pathway II,PF02779 PF02780 PF13292,FALSE,Manes.13G101600
,pyruvate dehydrogenase complex E1 alpha subunit,carb,grey,1,(1 of 2) PTHR11516//PTHR11516:SF38 - PYRUVATE DEHYDROGENASE E1 COMPONENT; ALPHA SUBUNIT  BACTERIAL AND ORGANELLAR // SUBFAMILY NOT NAMED,Manes.05G093200.v8.1,gene,GO:0004739 GO:0006086 GO:0008152 GO:0016624 GO:0043231,"pyruvate dehydrogenase (acetyl-transferring) activity; acetyl-CoA biosynthetic process from pyruvate; metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor; intracellular membrane-bounded organelle",K00161,,,Manes.05G093200,PTHR11516 PTHR11516:SF38,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF00676,FALSE,Manes.05G093200
,lipoamide dehydrogenase 1,carb,grey,3,(1 of 3) 1.8.1.4 - Dihydrolipoyl dehydrogenase / Lipoyl dehydrogenase,Manes.15G005700.v8.1,gene,GO:0008033 GO:0016491 GO:0045454 GO:0050660 GO:0055114,tRNA processing; oxidoreductase activity; cell redox homeostasis; flavin adenine dinucleotide binding,K00382,,,Manes.15G005700,PTHR22912 PTHR22912:SF165,PWY-5173; PWY-5464; PWY-5046; PWY-5084; PYRUVDEHYD-PWY; GLYCLEAV-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; 2-oxoisovalerate decarboxylation to isobutanoyl-CoA; 2-oxoglutarate decarboxylation to succinyl-CoA; pyruvate decarboxylation to acetyl CoA; glycine cleavage",PF00070 PF01134 PF02852,FALSE,Manes.15G005700
,,carb,grey,10,(1 of 4) PTHR19443//PTHR19443:SF26 - HEXOKINASE // SUBFAMILY NOT NAMED,Manes.16G108900.v8.1,gene,GO:0001678 GO:0004396 GO:0005524 GO:0005536 GO:0005975 GO:0016773 GO:0046835,"intracellular glucose homeostasis; hexokinase activity; ATP binding; D-glucose binding; carbohydrate metabolic process; phosphotransferase activity, alcohol group as acceptor; carbohydrate phosphorylation",,,,Manes.16G108900,PTHR19443 PTHR19443:SF26,PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY,sucrose degradation III (sucrose invertase); sucrose biosynthesis II; glycolysis III (from glucose); glucose and glucose-1-phosphate degradation; homolactic fermentation,PF03727,FALSE,Manes.16G108900
,Pyruvate kinase family protein,carb,greenyellow,2,(1 of 3) PTHR11817//PTHR11817:SF5 - PYRUVATE KINASE // PYRUVATE KINASE-RELATED,Manes.17G052300.v8.1,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,K00873,,,Manes.17G052300,PTHR11817 PTHR11817:SF5,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00224 PF02887,FALSE,Manes.17G052300
,,carb,grey,4,(1 of 5) 5.3.1.1 - Triose-phosphate isomerase / Triosephosphate mutase,Manes.07G116700.v8.1,gene,GO:0004807 GO:0008152,triose-phosphate isomerase activity; metabolic process,K01803,KOG1643,,Manes.07G116700,PTHR21139 PTHR21139:SF6,PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00121,FALSE,Manes.07G116700
,2-oxoacid dehydrogenases acyltransferase family protein,carb,grey,2,(1 of 3) PTHR23151//PTHR23151:SF61 - DIHYDROLIPOAMIDE ACETYL/SUCCINYL-TRANSFERASE-RELATED // SUBFAMILY NOT NAMED,Manes.18G100100.v8.1,gene,GO:0008152 GO:0016746,metabolic process; acyltransferase activity,,KOG0557,,Manes.18G100100,PTHR23151 PTHR23151:SF61,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF00198 PF00364,FALSE,Manes.18G100100
,UDP-sugar pyrophosphorylase,carb,grey,1,(1 of 1) 2.7.7.10 - UTP--hexose-1-phosphate uridylyltransferase / Galactose-1-phosphate uridylyltransferase,Manes.18G083251.v8.1,gene,GO:0008152 GO:0070569,metabolic process; uridylyltransferase activity,K12447,KOG2388,,Manes.18G083251,PTHR11952 PTHR11952:SF9,PWY-4841; PWY-3821; PWY-3801; PWY-6527; SUCSYN-PWY; PWY-7238; PWY-7343; UDPNACETYLGALSYN-PWY,UDP-&alpha;-D-glucuronate biosynthesis (from <i>myo</i>-inositol); D-galactose degradation III; sucrose degradation II (sucrose synthase); stachyose degradation; sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis; UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II,PF01704,FALSE,Manes.18G083251
,Phosphoglycerate mutase family protein,carb,grey,2,(1 of 2) K01834 - 2;3-bisphosphoglycerate-dependent phosphoglycerate mutase (PGAM; gpmA),Manes.18G069600.v8.1,gene,GO:0004619 GO:0006096 GO:0016868,phosphoglycerate mutase activity; glycolytic process; intramolecular phosphotransferase activity,,KOG0235,,Manes.18G069600,PTHR11931 PTHR11931:SF6,PWY66-399; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,gluconeogenesis III; glycolysis III (from glucose); homolactic fermentation,PF00300,FALSE,Manes.18G069600
NCED6,nine-cis-epoxycarotenoid dioxygenase 6,carot,grey,1,(1 of 2) PTHR10543:SF48 - 9-CIS-EPOXYCAROTENOID DIOXYGENASE NCED6; CHLOROPLASTIC,Manes.15G050500.v8.1,gene,,,,KOG1285,,Manes.15G050500,PTHR10543 PTHR10543:SF48,PWY-695,abscisic acid biosynthesis,PF03055,TRUE,Manes.15G050500
